,Color,Traits,Image Name
44,['dark'],"['pinstripe', 'white out', 'tangerine']",2701701.jpeg
45,['red'],['snowflake'],2701698.jpeg
46,['yellow'],"['extreme harlequin', 'reverse pinstripe', 'portholes']",1657685.jpeg
47,"['cream', 'yellow']",[],2478698.jpeg
48,['yellow'],"['dalmatian', 'super dalmatian', 'ink spot']",2289179.jpeg
49,['lavender'],"['extreme harlequin', 'tri-color']",2701586.jpeg
50,['dark'],['harlequin'],1654825.jpeg
51,"['red', 'yellow']","['blonde', 'phantom']",2701564.jpeg
52,['dark'],"['harlequin', 'partial pinstripe', 'tri-color']",2522025.jpeg
53,"['dark', 'red']","['harlequin', 'quad-stripe']",1654812.jpeg
54,['red'],"['dalmatian', 'harlequin']",2636096.jpeg
55,['dark'],"['extreme harlequin', 'tri-color', 'drippy']",1611710.jpeg
56,['yellow'],"['pinstripe', 'reverse pinstripe', 'white wall', 'creamsicle']",1747336.jpeg
57,['red'],['harlequin'],1747524.jpeg
58,['dark'],[],2216198.jpeg
59,['dark'],[],2215460.jpeg
60,['dark'],['snowflake'],2701480.jpeg
61,['red'],['quad-stripe'],2320812.jpeg
62,['dark'],"['partial pinstripe', 'pinstripe']",2701392.jpeg
63,['dark'],"['partial pinstripe', 'pinstripe']",2333654.jpeg
64,['red'],"['dalmatian', 'phantom']",1994244.jpeg
65,['dark'],"['pinstripe', 'empty back', 'axanthic']",2701078.jpeg
66,['red'],['quad-stripe'],2320812.jpeg
67,['dark'],"['partial pinstripe', 'pinstripe']",2701392.jpeg
68,['dark'],"['partial pinstripe', 'pinstripe']",2333654.jpeg
69,['cream'],"['extreme harlequin', 'snowflake', 'drippy']",2642936.jpeg
70,['red'],"['dalmatian', 'phantom']",1994244.jpeg
71,['dark'],"['pinstripe', 'empty back', 'axanthic']",2701078.jpeg
72,['red'],['tri-color'],2701074.jpeg
73,['red'],['lilly white'],2701051.jpeg
74,"['lavender', 'red', 'yellow']",['harlequin'],2464969.jpeg
75,['red'],"['pinstripe', 'drippy']",2584955.jpeg
76,['dark'],['pinstripe'],2584948.jpeg
77,['dark'],['pinstripe'],2584941.jpeg
78,['red'],['flame'],2700955.jpeg
79,['red'],['quad-stripe'],2584924.jpeg
80,"['cream', 'dark']","['extreme harlequin', 'tangerine']",2464946.jpeg
81,['lavender'],"['quad-stripe', 'drippy']",2584918.jpeg
82,['dark'],['extreme harlequin'],2584908.jpeg
83,['lavender'],['partial pinstripe'],2584900.jpeg
84,['cream'],"['super dalmatian', 'ink spot']",1876812.jpeg
85,['dark'],['extreme harlequin'],2584884.jpeg
86,['cream'],"['super dalmatian', 'ink spot']",1876785.jpeg
87,['cream'],"['super dalmatian', 'ink spot']",1876780.jpeg
88,['dark'],"['extreme harlequin', 'white out', 'white wall', 'tri-color', 'drippy']",2614324.jpeg
89,['cream'],"['super dalmatian', 'ink spot']",1876767.jpeg
90,['cream'],['harlequin'],2464838.jpeg
91,['cream'],"['super dalmatian', 'ink spot']",1876760.jpeg
92,['dark'],"['extreme harlequin', 'tri-color', 'drippy']",2614275.jpeg
93,['dark'],"['extreme harlequin', 'white wall', 'drippy']",2614202.jpeg
94,['dark'],"['extreme harlequin', 'white out', 'snowflake', 'white wall', 'drippy', 'white tip']",2614197.jpeg
95,"['cream', 'dark']",['extreme harlequin'],2464751.jpeg
96,['dark'],"['extreme harlequin', 'white out', 'snowflake', 'white wall', 'drippy', 'white tip']",2614113.jpeg
97,['red'],"['harlequin', 'snowflake']",2561270.jpeg
98,['red'],['extreme harlequin'],2700544.jpeg
99,['lavender'],[],2700537.jpeg
100,['red'],['super dalmatian'],2700531.jpeg
101,['red'],['super dalmatian'],2700526.jpeg
102,['lavender'],['extreme harlequin'],2201281.jpeg
103,"['cream', 'dark']","['extreme harlequin', 'harlequin', 'tri-color', 'drippy']",2477774.jpeg
104,"['cream', 'yellow']",[],2569381.jpeg
105,['red'],"['portholes', 'phantom']",2613926.jpeg
106,['red'],['dalmatian'],2122462.jpeg
107,['red'],"['super dalmatian', 'tiger', 'ink spot', 'oil spot', 'furred']",2035341.jpeg
108,['red'],"['fringing', 'kneecaps', 'phantom']",2063686.jpeg
109,['red'],"['pinstripe', 'fringing', 'kneecaps', 'white wall']",2035292.jpeg
110,['yellow'],[],2063680.jpeg
111,['dark'],['partial pinstripe'],2122391.jpeg
112,['yellow'],['dalmatian'],2223213.jpeg
113,"['cream', 'dark']",['harlequin'],2417577.jpeg
114,['yellow'],"['extreme harlequin', 'tri-color']",2063613.jpeg
115,['yellow'],"['pinstripe', 'fringing', 'kneecaps']",2063597.jpeg
116,['red'],"['dalmatian', 'red spot', 'patternless']",2368231.jpeg
117,"['cream', 'red']","['extreme harlequin', 'fringing', 'kneecaps']",2035173.jpeg
118,['dark'],['tri-color'],2569019.jpeg
119,['red'],"['extreme harlequin', 'pinstripe', 'snowflake', 'drippy']",2700107.jpeg
120,"['cream', 'dark']",['quad-stripe'],2246497.jpeg
121,['yellow'],"['extreme harlequin', 'fringing']",2063589.jpeg
122,['cream'],['extreme harlequin'],2063551.jpeg
123,['yellow'],['extreme harlequin'],2063531.jpeg
124,['dark'],['phantom'],2063535.jpeg
125,['yellow'],"['extreme harlequin', 'pinstripe', 'tri-color']",2063525.jpeg
126,['yellow'],[],2063496.jpeg
127,"['red', 'yellow']","['harlequin', 'snowflake']",2063492.jpeg
128,['cream'],['harlequin'],2063485.jpeg
129,['yellow'],['extreme harlequin'],2063480.jpeg
130,"['cream', 'lavender']",['pinstripe'],2634716.jpeg
131,['yellow'],['peppered'],2634616.jpeg
132,['red'],"['66% het axanthic', 'phantom']",2699683.jpeg
133,['yellow'],[],2034842.jpeg
134,['yellow'],"['extreme harlequin', 'tri-color']",2034836.jpeg
135,['yellow'],"['quad-stripe', 'soft scale', 'phantom']",2634537.jpeg
136,['lavender'],"['dalmatian', 'harlequin', 'solid back']",2063362.jpeg
137,['yellow'],['extreme harlequin'],2063355.jpeg
138,['yellow'],"['extreme harlequin', 'tri-color']",2063346.jpeg
139,['yellow'],['extreme harlequin'],2063341.jpeg
140,['yellow'],"['harlequin', 'reverse pinstripe', 'snowflake', 'fringing', 'kneecaps']",2063335.jpeg
141,['yellow'],['extreme harlequin'],2063330.jpeg
142,['yellow'],['extreme harlequin'],2034684.jpeg
143,['red'],"['harlequin', 'snowflake']",2034676.jpeg
144,['red'],"['66% het axanthic', 'phantom']",2699455.jpeg
145,['yellow'],"['fringing', 'kneecaps']",2034673.jpeg
146,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps', 'drippy']",2034670.jpeg
147,"['red', 'yellow']",['harlequin'],2034657.jpeg
148,['dark'],"['brindle', 'fringing']",2034649.jpeg
149,['dark'],['pinstripe'],2148527.jpeg
150,['yellow'],['super dalmatian'],2034583.jpeg
151,['lavender'],"['harlequin', 'quad-stripe']",2699300.jpeg
152,['yellow'],"['dalmatian', 'pinstripe', 'quad-stripe']",2699295.jpeg
153,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps']",2034567.jpeg
154,['red'],"['dalmatian', 'super dalmatian', 'portholes']",2148505.jpeg
155,['yellow'],"['extreme harlequin', 'tri-color']",2063187.jpeg
156,['cream'],['solid back'],2063122.jpeg
157,['cream'],"['extreme harlequin', 'fringing', 'kneecaps']",2063116.jpeg
158,['red'],"['harlequin', 'tri-color']",2148465.jpeg
159,['dark'],['tri-color'],2699246.jpeg
160,['cream'],"['extreme harlequin', 'snowflake', 'fringing', 'kneecaps']",2063077.jpeg
161,"['lavender', 'yellow']","['extreme harlequin', 'snowflake']",2063058.jpeg
162,['yellow'],[],2063050.jpeg
163,"['cream', 'yellow']","['extreme harlequin', 'tri-color', 'drippy']",2063041.jpeg
164,['yellow'],"['fringing', 'kneecaps', 'tri-color']",2061744.jpeg
165,['red'],"['harlequin', 'pinstripe']",1677446.jpeg
166,['cream'],"['quad-stripe', 'fringing', 'kneecaps']",2063034.jpeg
167,"['cream', 'lavender', 'yellow']","['extreme harlequin', 'portholes', 'fringing', 'kneecaps', 'tri-color']",2063009.jpeg
168,['red'],['pinstripe'],2090159.jpeg
169,['red'],['pinstripe'],1769228.jpeg
170,['dark'],"['partial pinstripe', 'phantom']",2332423.jpeg
171,['dark'],"['partial pinstripe', 'phantom']",2332400.jpeg
172,['yellow'],"['brindle', 'partial pinstripe', 'phantom']",2332356.jpeg
173,['red'],"['harlequin', 'pinstripe', 'tiger']",2291608.jpeg
174,['red'],['portholes'],2633920.jpeg
175,['lavender'],"['extreme harlequin', 'harlequin', 'drippy']",2633910.jpeg
176,"['lavender', 'yellow']",[],2633884.jpeg
177,['red'],[],2570666.jpeg
178,['red'],[],2567568.jpeg
179,['red'],"['dalmatian', 'super dalmatian', 'tiger', 'red spot', 'portholes', 'fringing', 'kneecaps']",2567566.jpeg
180,['red'],"['dalmatian', 'harlequin', 'partial pinstripe', 'red spot', 'fringing', 'kneecaps']",2567559.jpeg
181,['dark'],"['pinstripe', 'quad-stripe']",2698671.jpeg
182,"['cream', 'red']",['harlequin'],2698669.jpeg
183,['yellow'],['tiger'],2698659.jpeg
184,['red'],"['extreme harlequin', 'partial pinstripe']",2698653.jpeg
185,"['cream', 'lavender']","['white out', 'drippy']",1874649.jpeg
186,['red'],"['dalmatian', 'super dalmatian']",2698646.jpeg
187,"['cream', 'dark']","['brindle', 'harlequin', 'tri-color']",2698632.jpeg
188,"['lavender', 'yellow']","['extreme harlequin', 'harlequin']",2646202.jpeg
189,['lavender'],['pinstripe'],2646187.jpeg
190,"['cream', 'dark']","['harlequin', 'pinstripe']",2698586.jpeg
191,"['cream', 'dark', 'red']","['harlequin', 'partial pinstripe', 'tri-color']",2698566.jpeg
192,"['cream', 'dark']","['pinstripe', 'quad-stripe']",2698552.jpeg
193,['dark'],['tri-color'],2581992.jpeg
194,['red'],"['partial pinstripe', 'drippy']",2581984.jpeg
195,['dark'],"['pinstripe', 'tri-color']",2581977.jpeg
196,['dark'],"['brindle', 'harlequin']",2698547.jpeg
197,['dark'],[],2581968.jpeg
198,['dark'],"['dalmatian', 'quad-stripe']",2581957.jpeg
199,['red'],"['lilly white', '66% het axanthic', 'phantom']",2416457.jpeg
200,"['dark', 'lavender']",['partial pinstripe'],2581950.jpeg
201,['lavender'],['quad-stripe'],2581914.jpeg
202,['red'],[],2567317.jpeg
203,['dark'],"['extreme harlequin', 'pinstripe']",2581813.jpeg
204,['dark'],"['extreme harlequin', 'snowflake']",2470277.jpeg
205,['yellow'],['dalmatian'],2698501.jpeg
206,['yellow'],"['dalmatian', 'flame']",2698449.jpeg
207,['yellow'],['dalmatian'],2698441.jpeg
208,['yellow'],['dalmatian'],2698426.jpeg
209,['dark'],"['extreme harlequin', 'fringing', 'kneecaps', 'drippy']",2602662.jpeg
210,['red'],"['dalmatian', 'super dalmatian', 'red spot', 'phantom']",2277360.jpeg
211,['dark'],"['portholes', 'phantom']",2566929.jpeg
212,['red'],[],2597562.jpeg
213,"['cream', 'red']",['harlequin'],2120815.jpeg
214,"['lavender', 'red', 'yellow']",['harlequin'],2698188.jpeg
215,['red'],"['66% het axanthic', 'phantom']",2698153.jpeg
216,['lavender'],"['dalmatian', 'pinstripe', 'quad-stripe', 'pinstripe', 'lavender albino']",2698124.jpeg
217,['red'],['pinstripe'],2147145.jpeg
218,['dark'],['harlequin'],2698117.jpeg
219,['dark'],['partial pinstripe'],2556480.jpeg
220,['yellow'],"['dalmatian', 'portholes', 'phantom']",2077841.jpeg
221,['red'],['lilly white'],2368474.jpeg
222,['red'],"['dalmatian', 'portholes', 'phantom']",2497344.jpeg
223,['lavender'],"['extreme harlequin', 'pinstripe']",2698112.jpeg
224,['red'],['patternless'],2387946.jpeg
225,['red'],['patternless'],2387902.jpeg
226,['dark'],"['extreme harlequin', 'tri-color', 'drippy']",2698073.jpeg
227,"['dark', 'red']","['dalmatian', 'super dalmatian', 'red spot']",2147089.jpeg
228,"['dark', 'red']","['dalmatian', 'super dalmatian']",2147052.jpeg
229,['yellow'],['flame'],2698024.jpeg
230,['red'],"['extreme harlequin', 'harlequin', 'tri-color']",2366878.jpeg
231,['dark'],"['dalmatian', 'harlequin', 'partial pinstripe']",2640029.jpeg
232,['dark'],"['harlequin', 'partial pinstripe']",2640018.jpeg
233,['yellow'],"['reverse pinstripe', 'portholes']",2640013.jpeg
234,['yellow'],"['reverse pinstripe', 'tiger', 'kneecaps']",2640006.jpeg
235,"['cream', 'dark']","['brindle', 'harlequin']",2697882.jpeg
236,['dark'],"['pinstripe', 'portholes', 'normal']",2146925.jpeg
237,['yellow'],"['pinstripe', 'phantom']",2366805.jpeg
238,['cream'],"['harlequin', 'red spot']",2216291.jpeg
239,['red'],"['portholes', 'phantom']",2019152.jpeg
240,['dark'],['harlequin'],2005401.jpeg
241,['red'],"['dalmatian', 'flame', 'super dalmatian']",2006190.jpeg
242,['red'],"['dalmatian', 'super dalmatian']",2697698.jpeg
243,['yellow'],"['harlequin', 'pinstripe', 'drippy']",2645366.jpeg
244,['yellow'],['tiger'],2566226.jpeg
245,['dark'],['extreme harlequin'],2697647.jpeg
246,['red'],['dalmatian'],2697617.jpeg
247,['yellow'],"['pinstripe', 'quad-stripe']",2645320.jpeg
248,['yellow'],[],2697600.jpeg
249,['dark'],['phantom'],2697581.jpeg
250,['dark'],"['dalmatian', 'harlequin']",2271143.jpeg
251,['dark'],"['partial pinstripe', 'white tip']",2185145.jpeg
252,['cream'],"['harlequin', 'tri-color']",2461555.jpeg
253,"['lavender', 'yellow']",['harlequin'],2632174.jpeg
254,['red'],"['dalmatian', 'phantom']",2565918.jpeg
255,"['dark', 'lavender']",[],2366580.jpeg
256,['dark'],"['extreme harlequin', 'harlequin', 'pinstripe', 'white wall', 'white tip']",2366574.jpeg
257,['cream'],"['portholes', 'tri-color']",2224184.jpeg
258,['red'],"['dalmatian', 'tiger']",2224166.jpeg
259,['dark'],"['extreme harlequin', 'drippy']",2049350.jpeg
260,"['dark', 'lavender']",['pinstripe'],2366525.jpeg
261,['yellow'],"['pinstripe', 'drippy']",2366509.jpeg
262,['red'],"['portholes', 'fringing', 'phantom']",2128895.jpeg
263,"['cream', 'dark', 'red']","['pinstripe', 'tri-color']",2443373.jpeg
264,['red'],"['dalmatian', 'phantom']",2218330.jpeg
265,['yellow'],"['harlequin', 'pinstripe', 'fringing']",2015722.jpeg
266,['yellow'],"['flame', 'harlequin', 'snowflake', 'axanthic']",2461112.jpeg
267,"['cream', 'lavender']","['pinstripe', 'snowflake', 'drippy']",2237019.jpeg
268,['cream'],[],2217986.jpeg
269,"['dark', 'red']",['flame'],2023804.jpeg
270,['cream'],['tri-color'],2215882.jpeg
271,['dark'],['drippy'],2631623.jpeg
272,['dark'],"['harlequin', 'quad-stripe', 'white out', 'white wall', 'tri-color']",2540313.jpeg
273,['dark'],"['harlequin', 'quad-stripe', 'white out']",2540308.jpeg
274,['red'],['lilly white'],1675707.jpeg
275,['red'],['lilly white'],1675700.jpeg
276,"['dark', 'lavender']",['pinstripe'],2370915.jpeg
277,['yellow'],"['harlequin', 'drippy']",2644536.jpeg
278,"['cream', 'red']",['harlequin'],2696321.jpeg
279,['red'],"['brindle', 'kneecaps']",2631172.jpeg
280,['yellow'],['dalmatian'],2631135.jpeg
281,"['dark', 'red']","['extreme harlequin', 'harlequin', 'white wall', 'tri-color']",2696276.jpeg
282,['yellow'],"['harlequin', 'pinstripe']",2696225.jpeg
283,['red'],"['pinstripe', 'quad-stripe']",2631087.jpeg
284,['lavender'],['pinstripe'],1654286.jpeg
285,['cream'],"['extreme harlequin', 'drippy']",2631061.jpeg
286,['dark'],['extreme harlequin'],2696133.jpeg
287,['red'],"['dalmatian', 'flame', 'het phantom', 'tiger']",2650428.jpeg
288,['lavender'],['harlequin'],2696072.jpeg
289,['lavender'],['harlequin'],2696059.jpeg
290,['red'],['pinstripe'],2564861.jpeg
291,['dark'],"['pinstripe', 'quad-stripe']",2644398.jpeg
292,['red'],['portholes'],2564790.jpeg
293,['red'],['portholes'],2564776.jpeg
294,['lavender'],['harlequin'],2564765.jpeg
295,['dark'],"['dalmatian', 'pinstripe', 'tri-color']",2630893.jpeg
296,['yellow'],"['partial pinstripe', 'quad-stripe']",2644295.jpeg
297,['red'],"['extreme harlequin', 'harlequin']",2595507.jpeg
298,['dark'],[],2595427.jpeg
299,"['cream', 'yellow']","['dalmatian', 'partial pinstripe']",2327619.jpeg
300,['red'],"['soft scale', 'phantom']",2370345.jpeg
301,['red'],"['dalmatian', 'soft scale', 'phantom']",2370331.jpeg
302,['red'],['pinstripe'],2370326.jpeg
303,"['dark', 'lavender']",['white out'],2370324.jpeg
304,"['dark', 'lavender']","['white wall', 'empty back', 'super stripe']",2370321.jpeg
305,['red'],"['dalmatian', 'red spot', 'phantom']",2370315.jpeg
306,['dark'],"['brindle', 'dalmatian']",2564363.jpeg
307,['red'],"['extreme harlequin', 'snowflake']",2309550.jpeg
308,['red'],['portholes'],2309533.jpeg
309,['red'],['harlequin'],2309526.jpeg
310,['red'],"['extreme harlequin', 'drippy']",2578825.jpeg
311,['yellow'],['quad-stripe'],2630551.jpeg
312,['yellow'],['dalmatian'],2330829.jpeg
313,['yellow'],"['pinstripe', 'reverse pinstripe', 'white tip', 'phantom']",2388442.jpeg
314,['red'],"['harlequin', 'partial pinstripe', 'pinstripe', 'portholes']",2042643.jpeg
315,['red'],"['portholes', 'phantom']",2630504.jpeg
316,['yellow'],"['dalmatian', 'empty back', 'phantom']",2493011.jpeg
317,['yellow'],"['tiger', 'patternless']",2042634.jpeg
318,['red'],"['super dalmatian', 'red spot']",2459689.jpeg
319,['red'],"['pinstripe', 'tri-color']",2695406.jpeg
320,['red'],"['harlequin', 'partial pinstripe']",2695394.jpeg
321,['red'],"['dalmatian', 'red spot']",2695388.jpeg
322,['lavender'],"['harlequin', 'pinstripe']",2695387.jpeg
323,"['cream', 'dark']","['dalmatian', 'partial pinstripe', 'pinstripe', 'crowned']",2630422.jpeg
324,['red'],['red spot'],2016523.jpeg
325,['dark'],"['super dalmatian', 'tri-color']",2003502.jpeg
326,['red'],"['dalmatian', 'partial pinstripe']",2290239.jpeg
327,['lavender'],['quad-stripe'],2630383.jpeg
328,['dark'],[],2473346.jpeg
329,['red'],"['dalmatian', 'partial pinstripe']",2290212.jpeg
330,['yellow'],"['pinstripe', 'reverse pinstripe', 'crowned', 'white wall', 'drippy']",2297211.jpeg
331,['red'],['dalmatian'],2290190.jpeg
332,"['cream', 'red']","['harlequin', 'partial pinstripe']",2695169.jpeg
333,['red'],"['white out', 'drippy']",2649681.jpeg
334,['lavender'],"['dalmatian', 'flame', 'super dalmatian', 'bi-color']",2246747.jpeg
335,['dark'],"['pinstripe', 'portholes']",2021309.jpeg
336,"['red', 'yellow']","['extreme harlequin', 'pin-dashed', 'fringing', 'kneecaps', 'phantom']",2004761.jpeg
337,['lavender'],"['pinstripe', 'drippy']",2515160.jpeg
338,['lavender'],"['pinstripe', 'tri-color']",2515134.jpeg
339,['red'],"['harlequin', 'snowflake', 'fringing', 'kneecaps', 'crowned', 'drippy', 'white tip']",2352699.jpeg
340,['dark'],['harlequin'],2515120.jpeg
341,['dark'],"['tri-color', 'phantom']",1641206.jpeg
342,['dark'],['harlequin'],2670280.jpeg
343,['yellow'],"['pinstripe', 'quad-stripe']",2694946.jpeg
344,"['red', 'yellow']","['pinstripe', 'drippy']",2643728.jpeg
345,"['cream', 'dark']",['harlequin'],2594557.jpeg
346,"['cream', 'red']","['dalmatian', 'extreme harlequin']",2694814.jpeg
347,"['cream', 'red']",[],2221293.jpeg
348,"['cream', 'dark']",['harlequin'],2563471.jpeg
349,['red'],['phantom'],2670248.jpeg
350,['dark'],"['harlequin', 'partial pinstripe', 'pinstripe', 'portholes']",2042209.jpeg
351,['red'],"['super dalmatian', 'red spot', 'portholes', 'fringing']",2003338.jpeg
352,['cream'],['harlequin'],2670007.jpeg
353,['red'],[],2594106.jpeg
354,['lavender'],"['extreme harlequin', 'snowflake', 'blonde', 'drippy']",2232693.jpeg
355,['red'],"['dalmatian', 'extreme harlequin', 'harlequin', 'pinstripe']",2694098.jpeg
356,['red'],"['extreme harlequin', 'harlequin']",2311985.jpeg
357,['lavender'],"['extreme harlequin', 'harlequin', 'snowflake', 'blonde']",2309033.jpeg
358,['cream'],['extreme harlequin'],2694046.jpeg
359,['yellow'],['harlequin'],2693931.jpeg
360,['red'],"['red spot', 'portholes']",2469444.jpeg
361,['yellow'],"['harlequin', 'pinstripe']",1900602.jpeg
362,"['cream', 'yellow']","['extreme harlequin', 'harlequin']",1641190.jpeg
363,['dark'],[],2675939.jpeg
364,['red'],[],2677258.jpeg
365,"['olive', 'yellow']","['brindle', 'portholes', 'fringing']",2693862.jpeg
366,['dark'],['pinstripe'],2514028.jpeg
367,['dark'],['harlequin'],2514020.jpeg
368,"['cream', 'red']",['harlequin'],2562452.jpeg
369,['lavender'],"['extreme harlequin', 'harlequin', 'pin-dashed', 'snowflake', 'portholes', 'fringing', 'kneecaps']",2329656.jpeg
370,['red'],['harlequin'],2472274.jpeg
371,['dark'],"['extreme harlequin', 'pin-dashed']",2629159.jpeg
372,['dark'],"['pos portholes', 'patternless']",2041521.jpeg
373,['yellow'],"['dalmatian', 'tiger', 'phantom']",2041512.jpeg
374,['red'],['brindle'],2608089.jpeg
375,"['cream', 'red']","['brindle', 'harlequin']",2402018.jpeg
376,['dark'],['harlequin'],2693456.jpeg
377,"['cream', 'dark']","['harlequin', 'partial pinstripe']",2000370.jpeg
378,['dark'],"['dalmatian', 'harlequin']",2562181.jpeg
379,['red'],"['dalmatian', 'pos super dalmatian', 'ink spot']",2250612.jpeg
380,['red'],"['dalmatian', 'pinstripe']",2472003.jpeg
381,"['dark', 'red']",['extreme harlequin'],2479385.jpeg
382,"['dark', 'red']",['extreme harlequin'],2479389.jpeg
383,"['dark', 'red']",['extreme harlequin'],2479381.jpeg
384,['dark'],"['dalmatian', 'flame']",2017092.jpeg
385,['yellow'],"['extreme harlequin', 'harlequin']",2016582.jpeg
386,"['cream', 'yellow']","['extreme harlequin', 'harlequin']",2005000.jpeg
387,"['dark', 'red']",[],2469499.jpeg
388,['dark'],[],2595647.jpeg
389,['dark'],[],2218089.jpeg
390,['red'],['phantom'],2595503.jpeg
391,['dark'],[],2670033.jpeg
392,['dark'],[],2675605.jpeg
393,"['cream', 'dark']","['harlequin', 'pinstripe', 'pos quad-stripe']",2693097.jpeg
394,['red'],['dalmatian'],2457760.jpeg
395,['red'],"['harlequin', 'pinstripe']",2329129.jpeg
396,['red'],[],2561863.jpeg
397,['red'],['portholes'],2561854.jpeg
398,['red'],['extreme harlequin'],2561840.jpeg
399,['dark'],"['extreme harlequin', 'harlequin', 'partial pinstripe', 'tri-color']",2692791.jpeg
400,['red'],"['dalmatian', 'red spot']",2497717.jpeg
401,['dark'],"['harlequin', 'partial pinstripe']",2628481.jpeg
402,['red'],['dalmatian'],2328931.jpeg
403,['red'],['dalmatian'],2328925.jpeg
404,['dark'],['dalmatian'],2328920.jpeg
405,['dark'],[],2328905.jpeg
406,"['cream', 'lavender']","['extreme harlequin', 'white wall', 'drippy']",2642090.jpeg
407,"['cream', 'dark']","['dalmatian', 'extreme harlequin']",2327624.jpeg
408,['red'],['dalmatian'],2328885.jpeg
409,['red'],[],2457523.jpeg
410,['dark'],"['extreme harlequin', 'white wall', 'tri-color']",2440209.jpeg
411,['yellow'],['pinstripe'],2178909.jpeg
412,['yellow'],"['dalmatian', 'super dalmatian', 'oil spot']",2634918.jpeg
413,['red'],"['dalmatian', 'super dalmatian', 'oil spot']",2634917.jpeg
414,['red'],['patternless'],2178854.jpeg
415,['dark'],"['quad-stripe', 'soft scale', 'phantom']",2294394.jpeg
416,['red'],"['dalmatian', 'phantom']",2407445.jpeg
417,['red'],"['empty back', 'phantom', 'patternless']",2561396.jpeg
418,['cream'],[],2692332.jpeg
419,['red'],"['dalmatian', 'phantom']",2407446.jpeg
420,['red'],"['dalmatian', 'red spot']",2310993.jpeg
421,"['dark', 'red']",['harlequin'],2246831.jpeg
422,['red'],['phantom'],2596776.jpeg
423,['dark'],['phantom'],1629588.jpeg
424,['cream'],['harlequin'],2596688.jpeg
425,['yellow'],"['lilly white', 'phantom']",2470986.jpeg
426,"['cream', 'dark']",['pinstripe'],2194177.jpeg
427,"['cream', 'dark', 'yellow']","['extreme harlequin', 'tri-color']",2104169.jpeg
428,"['cream', 'dark']",['extreme harlequin'],2691936.jpeg
429,"['cream', 'dark']","['extreme harlequin', 'harlequin']",2691913.jpeg
430,['dark'],[],2691920.jpeg
431,['red'],['phantom'],2691901.jpeg
432,['dark'],"['extreme harlequin', 'harlequin']",2691893.jpeg
433,['red'],"['lilly white', 'phantom']",2449710.jpeg
434,['red'],['flame'],2008483.jpeg
435,['yellow'],['pinstripe'],2328352.jpeg
