,Traits,Image Name,cream,dark,lavender,olive,red,yellow
69,"['extreme harlequin', 'snowflake', 'drippy']",2642936.jpeg,1,0,0,0,0,0
70,"['dalmatian', 'phantom']",1994244.jpeg,0,0,0,0,1,0
71,"['pinstripe', 'empty back', 'axanthic']",2701078.jpeg,0,1,0,0,0,0
72,['tri-color'],2701074.jpeg,0,0,0,0,1,0
73,['lilly white'],2701051.jpeg,0,0,0,0,1,0
74,"['harlequin', 'harlequin', 'harlequin']",2464969.jpeg,0,0,1,0,1,1
75,"['pinstripe', 'drippy']",2584955.jpeg,0,0,0,0,1,0
76,['pinstripe'],2584948.jpeg,0,1,0,0,0,0
77,['pinstripe'],2584941.jpeg,0,1,0,0,0,0
78,['flame'],2700955.jpeg,0,0,0,0,1,0
79,['quad-stripe'],2584924.jpeg,0,0,0,0,1,0
80,"['extreme harlequin', 'tangerine', 'extreme harlequin', 'tangerine']",2464946.jpeg,1,1,0,0,0,0
81,"['quad-stripe', 'drippy']",2584918.jpeg,0,0,1,0,0,0
82,['extreme harlequin'],2584908.jpeg,0,1,0,0,0,0
83,['partial pinstripe'],2584900.jpeg,0,0,1,0,0,0
84,"['super dalmatian', 'ink spot']",1876812.jpeg,1,0,0,0,0,0
85,['extreme harlequin'],2584884.jpeg,0,1,0,0,0,0
86,"['super dalmatian', 'ink spot']",1876785.jpeg,1,0,0,0,0,0
87,"['super dalmatian', 'ink spot']",1876780.jpeg,1,0,0,0,0,0
88,"['extreme harlequin', 'white out', 'white wall', 'tri-color', 'drippy']",2614324.jpeg,0,1,0,0,0,0
89,"['super dalmatian', 'ink spot']",1876767.jpeg,1,0,0,0,0,0
90,['harlequin'],2464838.jpeg,1,0,0,0,0,0
91,"['super dalmatian', 'ink spot']",1876760.jpeg,1,0,0,0,0,0
92,"['extreme harlequin', 'tri-color', 'drippy']",2614275.jpeg,0,1,0,0,0,0
93,"['extreme harlequin', 'white wall', 'drippy']",2614202.jpeg,0,1,0,0,0,0
94,"['extreme harlequin', 'white out', 'snowflake', 'white wall', 'drippy', 'white tip']",2614197.jpeg,0,1,0,0,0,0
95,"['extreme harlequin', 'extreme harlequin']",2464751.jpeg,1,1,0,0,0,0
96,"['extreme harlequin', 'white out', 'snowflake', 'white wall', 'drippy', 'white tip']",2614113.jpeg,0,1,0,0,0,0
97,"['harlequin', 'snowflake']",2561270.jpeg,0,0,0,0,1,0
98,['extreme harlequin'],2700544.jpeg,0,0,0,0,1,0
99,[],2700537.jpeg,0,0,1,0,0,0
100,['super dalmatian'],2700531.jpeg,0,0,0,0,1,0
101,['super dalmatian'],2700526.jpeg,0,0,0,0,1,0
102,['extreme harlequin'],2201281.jpeg,0,0,1,0,0,0
103,"['extreme harlequin', 'harlequin', 'tri-color', 'drippy', 'extreme harlequin', 'harlequin', 'tri-color', 'drippy']",2477774.jpeg,1,1,0,0,0,0
104,[],2569381.jpeg,1,0,0,0,0,1
105,"['portholes', 'phantom']",2613926.jpeg,0,0,0,0,1,0
106,['dalmatian'],2122462.jpeg,0,0,0,0,1,0
107,"['super dalmatian', 'tiger', 'ink spot', 'oil spot', 'furred']",2035341.jpeg,0,0,0,0,1,0
108,"['fringing', 'kneecaps', 'phantom']",2063686.jpeg,0,0,0,0,1,0
109,"['pinstripe', 'fringing', 'kneecaps', 'white wall']",2035292.jpeg,0,0,0,0,1,0
110,[],2063680.jpeg,0,0,0,0,0,1
111,['partial pinstripe'],2122391.jpeg,0,1,0,0,0,0
112,['dalmatian'],2223213.jpeg,0,0,0,0,0,1
113,"['harlequin', 'harlequin']",2417577.jpeg,1,1,0,0,0,0
114,"['extreme harlequin', 'tri-color']",2063613.jpeg,0,0,0,0,0,1
115,"['pinstripe', 'fringing', 'kneecaps']",2063597.jpeg,0,0,0,0,0,1
116,"['dalmatian', 'red spot', 'patternless']",2368231.jpeg,0,0,0,0,1,0
117,"['extreme harlequin', 'fringing', 'kneecaps', 'extreme harlequin', 'fringing', 'kneecaps']",2035173.jpeg,1,0,0,0,1,0
118,['tri-color'],2569019.jpeg,0,1,0,0,0,0
119,"['extreme harlequin', 'pinstripe', 'snowflake', 'drippy']",2700107.jpeg,0,0,0,0,1,0
120,"['quad-stripe', 'quad-stripe']",2246497.jpeg,1,1,0,0,0,0
121,"['extreme harlequin', 'fringing']",2063589.jpeg,0,0,0,0,0,1
122,['extreme harlequin'],2063551.jpeg,1,0,0,0,0,0
123,['extreme harlequin'],2063531.jpeg,0,0,0,0,0,1
124,['phantom'],2063535.jpeg,0,1,0,0,0,0
125,"['extreme harlequin', 'pinstripe', 'tri-color']",2063525.jpeg,0,0,0,0,0,1
126,[],2063496.jpeg,0,0,0,0,0,1
127,"['harlequin', 'snowflake', 'harlequin', 'snowflake']",2063492.jpeg,0,0,0,0,1,1
128,['harlequin'],2063485.jpeg,1,0,0,0,0,0
129,['extreme harlequin'],2063480.jpeg,0,0,0,0,0,1
130,"['pinstripe', 'pinstripe']",2634716.jpeg,1,0,1,0,0,0
131,['peppered'],2634616.jpeg,0,0,0,0,0,1
132,"['66% het axanthic', 'phantom']",2699683.jpeg,0,0,0,0,1,0
133,[],2034842.jpeg,0,0,0,0,0,1
134,"['extreme harlequin', 'tri-color']",2034836.jpeg,0,0,0,0,0,1
135,"['quad-stripe', 'soft scale', 'phantom']",2634537.jpeg,0,0,0,0,0,1
136,"['dalmatian', 'harlequin', 'solid back']",2063362.jpeg,0,0,1,0,0,0
137,['extreme harlequin'],2063355.jpeg,0,0,0,0,0,1
138,"['extreme harlequin', 'tri-color']",2063346.jpeg,0,0,0,0,0,1
139,['extreme harlequin'],2063341.jpeg,0,0,0,0,0,1
140,"['harlequin', 'reverse pinstripe', 'snowflake', 'fringing', 'kneecaps']",2063335.jpeg,0,0,0,0,0,1
141,['extreme harlequin'],2063330.jpeg,0,0,0,0,0,1
142,['extreme harlequin'],2034684.jpeg,0,0,0,0,0,1
143,"['harlequin', 'snowflake']",2034676.jpeg,0,0,0,0,1,0
144,"['66% het axanthic', 'phantom']",2699455.jpeg,0,0,0,0,1,0
145,"['fringing', 'kneecaps']",2034673.jpeg,0,0,0,0,0,1
146,"['extreme harlequin', 'fringing', 'kneecaps', 'drippy']",2034670.jpeg,0,0,0,0,0,1
147,"['harlequin', 'harlequin']",2034657.jpeg,0,0,0,0,1,1
148,"['brindle', 'fringing']",2034649.jpeg,0,1,0,0,0,0
149,['pinstripe'],2148527.jpeg,0,1,0,0,0,0
150,['super dalmatian'],2034583.jpeg,0,0,0,0,0,1
151,"['harlequin', 'quad-stripe']",2699300.jpeg,0,0,1,0,0,0
152,"['dalmatian', 'pinstripe', 'quad-stripe']",2699295.jpeg,0,0,0,0,0,1
153,"['extreme harlequin', 'fringing', 'kneecaps']",2034567.jpeg,0,0,0,0,0,1
154,"['dalmatian', 'super dalmatian', 'portholes']",2148505.jpeg,0,0,0,0,1,0
155,"['extreme harlequin', 'tri-color']",2063187.jpeg,0,0,0,0,0,1
156,['solid back'],2063122.jpeg,1,0,0,0,0,0
157,"['extreme harlequin', 'fringing', 'kneecaps']",2063116.jpeg,1,0,0,0,0,0
158,"['harlequin', 'tri-color']",2148465.jpeg,0,0,0,0,1,0
159,['tri-color'],2699246.jpeg,0,1,0,0,0,0
160,"['extreme harlequin', 'snowflake', 'fringing', 'kneecaps']",2063077.jpeg,1,0,0,0,0,0
161,"['extreme harlequin', 'snowflake', 'extreme harlequin', 'snowflake']",2063058.jpeg,0,0,1,0,0,1
162,[],2063050.jpeg,0,0,0,0,0,1
163,"['extreme harlequin', 'tri-color', 'drippy', 'extreme harlequin', 'tri-color', 'drippy']",2063041.jpeg,1,0,0,0,0,1
164,"['fringing', 'kneecaps', 'tri-color']",2061744.jpeg,0,0,0,0,0,1
165,"['harlequin', 'pinstripe']",1677446.jpeg,0,0,0,0,1,0
166,"['quad-stripe', 'fringing', 'kneecaps']",2063034.jpeg,1,0,0,0,0,0
167,"['extreme harlequin', 'portholes', 'fringing', 'kneecaps', 'tri-color', 'extreme harlequin', 'portholes', 'fringing', 'kneecaps', 'tri-color', 'extreme harlequin', 'portholes', 'fringing', 'kneecaps', 'tri-color']",2063009.jpeg,1,0,1,0,0,1
168,['pinstripe'],2090159.jpeg,0,0,0,0,1,0
169,['pinstripe'],1769228.jpeg,0,0,0,0,1,0
170,"['partial pinstripe', 'phantom']",2332423.jpeg,0,1,0,0,0,0
171,"['partial pinstripe', 'phantom']",2332400.jpeg,0,1,0,0,0,0
172,"['brindle', 'partial pinstripe', 'phantom']",2332356.jpeg,0,0,0,0,0,1
173,"['harlequin', 'pinstripe', 'tiger']",2291608.jpeg,0,0,0,0,1,0
174,['portholes'],2633920.jpeg,0,0,0,0,1,0
175,"['extreme harlequin', 'harlequin', 'drippy']",2633910.jpeg,0,0,1,0,0,0
176,[],2633884.jpeg,0,0,1,0,0,1
177,[],2570666.jpeg,0,0,0,0,1,0
178,[],2567568.jpeg,0,0,0,0,1,0
179,"['dalmatian', 'super dalmatian', 'tiger', 'red spot', 'portholes', 'fringing', 'kneecaps']",2567566.jpeg,0,0,0,0,1,0
180,"['dalmatian', 'harlequin', 'partial pinstripe', 'red spot', 'fringing', 'kneecaps']",2567559.jpeg,0,0,0,0,1,0
181,"['pinstripe', 'quad-stripe']",2698671.jpeg,0,1,0,0,0,0
182,"['harlequin', 'harlequin']",2698669.jpeg,1,0,0,0,1,0
183,['tiger'],2698659.jpeg,0,0,0,0,0,1
184,"['extreme harlequin', 'partial pinstripe']",2698653.jpeg,0,0,0,0,1,0
185,"['white out', 'drippy', 'white out', 'drippy']",1874649.jpeg,1,0,1,0,0,0
186,"['dalmatian', 'super dalmatian']",2698646.jpeg,0,0,0,0,1,0
187,"['brindle', 'harlequin', 'tri-color', 'brindle', 'harlequin', 'tri-color']",2698632.jpeg,1,1,0,0,0,0
188,"['extreme harlequin', 'harlequin', 'extreme harlequin', 'harlequin']",2646202.jpeg,0,0,1,0,0,1
189,['pinstripe'],2646187.jpeg,0,0,1,0,0,0
190,"['harlequin', 'pinstripe', 'harlequin', 'pinstripe']",2698586.jpeg,1,1,0,0,0,0
191,"['harlequin', 'partial pinstripe', 'tri-color', 'harlequin', 'partial pinstripe', 'tri-color', 'harlequin', 'partial pinstripe', 'tri-color']",2698566.jpeg,1,1,0,0,1,0
192,"['pinstripe', 'quad-stripe', 'pinstripe', 'quad-stripe']",2698552.jpeg,1,1,0,0,0,0
193,['tri-color'],2581992.jpeg,0,1,0,0,0,0
194,"['partial pinstripe', 'drippy']",2581984.jpeg,0,0,0,0,1,0
195,"['pinstripe', 'tri-color']",2581977.jpeg,0,1,0,0,0,0
196,"['brindle', 'harlequin']",2698547.jpeg,0,1,0,0,0,0
197,[],2581968.jpeg,0,1,0,0,0,0
198,"['dalmatian', 'quad-stripe']",2581957.jpeg,0,1,0,0,0,0
199,"['lilly white', '66% het axanthic', 'phantom']",2416457.jpeg,0,0,0,0,1,0
200,"['partial pinstripe', 'partial pinstripe']",2581950.jpeg,0,1,1,0,0,0
201,['quad-stripe'],2581914.jpeg,0,0,1,0,0,0
202,[],2567317.jpeg,0,0,0,0,1,0
203,"['extreme harlequin', 'pinstripe']",2581813.jpeg,0,1,0,0,0,0
204,"['extreme harlequin', 'snowflake']",2470277.jpeg,0,1,0,0,0,0
205,['dalmatian'],2698501.jpeg,0,0,0,0,0,1
206,"['dalmatian', 'flame']",2698449.jpeg,0,0,0,0,0,1
207,['dalmatian'],2698441.jpeg,0,0,0,0,0,1
208,['dalmatian'],2698426.jpeg,0,0,0,0,0,1
209,"['extreme harlequin', 'fringing', 'kneecaps', 'drippy']",2602662.jpeg,0,1,0,0,0,0
210,"['dalmatian', 'super dalmatian', 'red spot', 'phantom']",2277360.jpeg,0,0,0,0,1,0
211,"['portholes', 'phantom']",2566929.jpeg,0,1,0,0,0,0
212,[],2597562.jpeg,0,0,0,0,1,0
213,"['harlequin', 'harlequin']",2120815.jpeg,1,0,0,0,1,0
214,"['harlequin', 'harlequin', 'harlequin']",2698188.jpeg,0,0,1,0,1,1
215,"['66% het axanthic', 'phantom']",2698153.jpeg,0,0,0,0,1,0
216,"['dalmatian', 'pinstripe', 'quad-stripe', 'pinstripe', 'lavender albino']",2698124.jpeg,0,0,1,0,0,0
217,['pinstripe'],2147145.jpeg,0,0,0,0,1,0
218,['harlequin'],2698117.jpeg,0,1,0,0,0,0
219,['partial pinstripe'],2556480.jpeg,0,1,0,0,0,0
220,"['dalmatian', 'portholes', 'phantom']",2077841.jpeg,0,0,0,0,0,1
221,['lilly white'],2368474.jpeg,0,0,0,0,1,0
222,"['dalmatian', 'portholes', 'phantom']",2497344.jpeg,0,0,0,0,1,0
223,"['extreme harlequin', 'pinstripe']",2698112.jpeg,0,0,1,0,0,0
224,['patternless'],2387946.jpeg,0,0,0,0,1,0
225,['patternless'],2387902.jpeg,0,0,0,0,1,0
226,"['extreme harlequin', 'tri-color', 'drippy']",2698073.jpeg,0,1,0,0,0,0
227,"['dalmatian', 'super dalmatian', 'red spot', 'dalmatian', 'super dalmatian', 'red spot']",2147089.jpeg,0,1,0,0,1,0
228,"['dalmatian', 'super dalmatian', 'dalmatian', 'super dalmatian']",2147052.jpeg,0,1,0,0,1,0
229,['flame'],2698024.jpeg,0,0,0,0,0,1
230,"['extreme harlequin', 'harlequin', 'tri-color']",2366878.jpeg,0,0,0,0,1,0
231,"['dalmatian', 'harlequin', 'partial pinstripe']",2640029.jpeg,0,1,0,0,0,0
232,"['harlequin', 'partial pinstripe']",2640018.jpeg,0,1,0,0,0,0
233,"['reverse pinstripe', 'portholes']",2640013.jpeg,0,0,0,0,0,1
234,"['reverse pinstripe', 'tiger', 'kneecaps']",2640006.jpeg,0,0,0,0,0,1
235,"['brindle', 'harlequin', 'brindle', 'harlequin']",2697882.jpeg,1,1,0,0,0,0
236,"['pinstripe', 'portholes', 'normal']",2146925.jpeg,0,1,0,0,0,0
237,"['pinstripe', 'phantom']",2366805.jpeg,0,0,0,0,0,1
238,"['harlequin', 'red spot']",2216291.jpeg,1,0,0,0,0,0
239,"['portholes', 'phantom']",2019152.jpeg,0,0,0,0,1,0
240,['harlequin'],2005401.jpeg,0,1,0,0,0,0
241,"['dalmatian', 'flame', 'super dalmatian']",2006190.jpeg,0,0,0,0,1,0
242,"['dalmatian', 'super dalmatian']",2697698.jpeg,0,0,0,0,1,0
243,"['harlequin', 'pinstripe', 'drippy']",2645366.jpeg,0,0,0,0,0,1
244,['tiger'],2566226.jpeg,0,0,0,0,0,1
245,['extreme harlequin'],2697647.jpeg,0,1,0,0,0,0
246,['dalmatian'],2697617.jpeg,0,0,0,0,1,0
247,"['pinstripe', 'quad-stripe']",2645320.jpeg,0,0,0,0,0,1
248,[],2697600.jpeg,0,0,0,0,0,1
249,['phantom'],2697581.jpeg,0,1,0,0,0,0
250,"['dalmatian', 'harlequin']",2271143.jpeg,0,1,0,0,0,0
251,"['partial pinstripe', 'white tip']",2185145.jpeg,0,1,0,0,0,0
252,"['harlequin', 'tri-color']",2461555.jpeg,1,0,0,0,0,0
253,"['harlequin', 'harlequin']",2632174.jpeg,0,0,1,0,0,1
254,"['dalmatian', 'phantom']",2565918.jpeg,0,0,0,0,1,0
255,[],2366580.jpeg,0,1,1,0,0,0
256,"['extreme harlequin', 'harlequin', 'pinstripe', 'white wall', 'white tip']",2366574.jpeg,0,1,0,0,0,0
257,"['portholes', 'tri-color']",2224184.jpeg,1,0,0,0,0,0
258,"['dalmatian', 'tiger']",2224166.jpeg,0,0,0,0,1,0
259,"['extreme harlequin', 'drippy']",2049350.jpeg,0,1,0,0,0,0
260,"['pinstripe', 'pinstripe']",2366525.jpeg,0,1,1,0,0,0
261,"['pinstripe', 'drippy']",2366509.jpeg,0,0,0,0,0,1
262,"['portholes', 'fringing', 'phantom']",2128895.jpeg,0,0,0,0,1,0
263,"['pinstripe', 'tri-color', 'pinstripe', 'tri-color', 'pinstripe', 'tri-color']",2443373.jpeg,1,1,0,0,1,0
264,"['dalmatian', 'phantom']",2218330.jpeg,0,0,0,0,1,0
265,"['harlequin', 'pinstripe', 'fringing']",2015722.jpeg,0,0,0,0,0,1
266,"['flame', 'harlequin', 'snowflake', 'axanthic']",2461112.jpeg,0,0,0,0,0,1
267,"['pinstripe', 'snowflake', 'drippy', 'pinstripe', 'snowflake', 'drippy']",2237019.jpeg,1,0,1,0,0,0
268,[],2217986.jpeg,1,0,0,0,0,0
269,"['flame', 'flame']",2023804.jpeg,0,1,0,0,1,0
270,['tri-color'],2215882.jpeg,1,0,0,0,0,0
271,['drippy'],2631623.jpeg,0,1,0,0,0,0
272,"['harlequin', 'quad-stripe', 'white out', 'white wall', 'tri-color']",2540313.jpeg,0,1,0,0,0,0
273,"['harlequin', 'quad-stripe', 'white out']",2540308.jpeg,0,1,0,0,0,0
274,['lilly white'],1675707.jpeg,0,0,0,0,1,0
275,['lilly white'],1675700.jpeg,0,0,0,0,1,0
276,"['pinstripe', 'pinstripe']",2370915.jpeg,0,1,1,0,0,0
277,"['harlequin', 'drippy']",2644536.jpeg,0,0,0,0,0,1
278,"['harlequin', 'harlequin']",2696321.jpeg,1,0,0,0,1,0
279,"['brindle', 'kneecaps']",2631172.jpeg,0,0,0,0,1,0
280,['dalmatian'],2631135.jpeg,0,0,0,0,0,1
281,"['extreme harlequin', 'harlequin', 'white wall', 'tri-color', 'extreme harlequin', 'harlequin', 'white wall', 'tri-color']",2696276.jpeg,0,1,0,0,1,0
282,"['harlequin', 'pinstripe']",2696225.jpeg,0,0,0,0,0,1
283,"['pinstripe', 'quad-stripe']",2631087.jpeg,0,0,0,0,1,0
284,['pinstripe'],1654286.jpeg,0,0,1,0,0,0
285,"['extreme harlequin', 'drippy']",2631061.jpeg,1,0,0,0,0,0
286,['extreme harlequin'],2696133.jpeg,0,1,0,0,0,0
287,"['dalmatian', 'flame', 'het phantom', 'tiger']",2650428.jpeg,0,0,0,0,1,0
288,['harlequin'],2696072.jpeg,0,0,1,0,0,0
289,['harlequin'],2696059.jpeg,0,0,1,0,0,0
290,['pinstripe'],2564861.jpeg,0,0,0,0,1,0
291,"['pinstripe', 'quad-stripe']",2644398.jpeg,0,1,0,0,0,0
292,['portholes'],2564790.jpeg,0,0,0,0,1,0
293,['portholes'],2564776.jpeg,0,0,0,0,1,0
294,['harlequin'],2564765.jpeg,0,0,1,0,0,0
295,"['dalmatian', 'pinstripe', 'tri-color']",2630893.jpeg,0,1,0,0,0,0
296,"['partial pinstripe', 'quad-stripe']",2644295.jpeg,0,0,0,0,0,1
297,"['extreme harlequin', 'harlequin']",2595507.jpeg,0,0,0,0,1,0
298,[],2595427.jpeg,0,1,0,0,0,0
299,"['dalmatian', 'partial pinstripe', 'dalmatian', 'partial pinstripe']",2327619.jpeg,1,0,0,0,0,1
300,"['soft scale', 'phantom']",2370345.jpeg,0,0,0,0,1,0
301,"['dalmatian', 'soft scale', 'phantom']",2370331.jpeg,0,0,0,0,1,0
302,['pinstripe'],2370326.jpeg,0,0,0,0,1,0
303,"['white out', 'white out']",2370324.jpeg,0,1,1,0,0,0
304,"['white wall', 'empty back', 'super stripe', 'white wall', 'empty back', 'super stripe']",2370321.jpeg,0,1,1,0,0,0
305,"['dalmatian', 'red spot', 'phantom']",2370315.jpeg,0,0,0,0,1,0
306,"['brindle', 'dalmatian']",2564363.jpeg,0,1,0,0,0,0
307,"['extreme harlequin', 'snowflake']",2309550.jpeg,0,0,0,0,1,0
308,['portholes'],2309533.jpeg,0,0,0,0,1,0
309,['harlequin'],2309526.jpeg,0,0,0,0,1,0
310,"['extreme harlequin', 'drippy']",2578825.jpeg,0,0,0,0,1,0
311,['quad-stripe'],2630551.jpeg,0,0,0,0,0,1
312,['dalmatian'],2330829.jpeg,0,0,0,0,0,1
313,"['pinstripe', 'reverse pinstripe', 'white tip', 'phantom']",2388442.jpeg,0,0,0,0,0,1
314,"['harlequin', 'partial pinstripe', 'pinstripe', 'portholes']",2042643.jpeg,0,0,0,0,1,0
315,"['portholes', 'phantom']",2630504.jpeg,0,0,0,0,1,0
316,"['dalmatian', 'empty back', 'phantom']",2493011.jpeg,0,0,0,0,0,1
317,"['tiger', 'patternless']",2042634.jpeg,0,0,0,0,0,1
318,"['super dalmatian', 'red spot']",2459689.jpeg,0,0,0,0,1,0
319,"['pinstripe', 'tri-color']",2695406.jpeg,0,0,0,0,1,0
320,"['harlequin', 'partial pinstripe']",2695394.jpeg,0,0,0,0,1,0
321,"['dalmatian', 'red spot']",2695388.jpeg,0,0,0,0,1,0
322,"['harlequin', 'pinstripe']",2695387.jpeg,0,0,1,0,0,0
323,"['dalmatian', 'partial pinstripe', 'pinstripe', 'crowned', 'dalmatian', 'partial pinstripe', 'pinstripe', 'crowned']",2630422.jpeg,1,1,0,0,0,0
324,['red spot'],2016523.jpeg,0,0,0,0,1,0
325,"['super dalmatian', 'tri-color']",2003502.jpeg,0,1,0,0,0,0
326,"['dalmatian', 'partial pinstripe']",2290239.jpeg,0,0,0,0,1,0
327,['quad-stripe'],2630383.jpeg,0,0,1,0,0,0
328,[],2473346.jpeg,0,1,0,0,0,0
329,"['dalmatian', 'partial pinstripe']",2290212.jpeg,0,0,0,0,1,0
330,"['pinstripe', 'reverse pinstripe', 'crowned', 'white wall', 'drippy']",2297211.jpeg,0,0,0,0,0,1
331,['dalmatian'],2290190.jpeg,0,0,0,0,1,0
332,"['harlequin', 'partial pinstripe', 'harlequin', 'partial pinstripe']",2695169.jpeg,1,0,0,0,1,0
333,"['white out', 'drippy']",2649681.jpeg,0,0,0,0,1,0
334,"['dalmatian', 'flame', 'super dalmatian', 'bi-color']",2246747.jpeg,0,0,1,0,0,0
335,"['pinstripe', 'portholes']",2021309.jpeg,0,1,0,0,0,0
336,"['extreme harlequin', 'pin-dashed', 'fringing', 'kneecaps', 'phantom', 'extreme harlequin', 'pin-dashed', 'fringing', 'kneecaps', 'phantom']",2004761.jpeg,0,0,0,0,1,1
337,"['pinstripe', 'drippy']",2515160.jpeg,0,0,1,0,0,0
338,"['pinstripe', 'tri-color']",2515134.jpeg,0,0,1,0,0,0
