,Image Name,Cream,Dark,Lavender,Olive,Red,Yellow,Colors Raw,Colors Hot,Traits
75,2584955.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['pinstripe', 'drippy']"
76,2584948.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",['pinstripe']
77,2584941.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",['pinstripe']
78,2700955.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['flame']
79,2584924.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['quad-stripe']
80,2464946.jpeg,0.5,0.5,0.0,0.0,0.0,0.0,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'tangerine', 'extreme harlequin', 'tangerine']"
81,2584918.jpeg,0.0,0.0,1.0,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","['quad-stripe', 'drippy']"
82,2584908.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",['extreme harlequin']
83,2584900.jpeg,0.0,0.0,1.0,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",['partial pinstripe']
84,1876812.jpeg,1.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['super dalmatian', 'ink spot']"
85,2584884.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",['extreme harlequin']
86,1876785.jpeg,1.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['super dalmatian', 'ink spot']"
87,1876780.jpeg,1.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['super dalmatian', 'ink spot']"
88,2614324.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'white out', 'white wall', 'tri-color', 'drippy']"
89,1876767.jpeg,1.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['super dalmatian', 'ink spot']"
90,2464838.jpeg,1.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",['harlequin']
91,1876760.jpeg,1.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['super dalmatian', 'ink spot']"
92,2614275.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'tri-color', 'drippy']"
93,2614202.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'white wall', 'drippy']"
94,2614197.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'white out', 'snowflake', 'white wall', 'drippy', 'white tip']"
95,2464751.jpeg,0.5,0.5,0.0,0.0,0.0,0.0,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'extreme harlequin']"
96,2614113.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'white out', 'snowflake', 'white wall', 'drippy', 'white tip']"
97,2561270.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['harlequin', 'snowflake']"
98,2700544.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['extreme harlequin']
99,2700537.jpeg,0.0,0.0,1.0,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",[]
100,2700531.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['super dalmatian']
101,2700526.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['super dalmatian']
102,2201281.jpeg,0.0,0.0,1.0,0.0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",['extreme harlequin']
103,2477774.jpeg,0.5,0.5,0.0,0.0,0.0,0.0,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['extreme harlequin', 'harlequin', 'tri-color', 'drippy', 'extreme harlequin', 'harlequin', 'tri-color', 'drippy']"
104,2569381.jpeg,0.5,0.0,0.0,0.0,0.0,0.5,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.5]","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[]
105,2613926.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['portholes', 'phantom']"
106,2122462.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['dalmatian']
107,2035341.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['super dalmatian', 'tiger', 'ink spot', 'oil spot', 'furred']"
108,2063686.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['fringing', 'kneecaps', 'phantom']"
109,2035292.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['pinstripe', 'fringing', 'kneecaps', 'white wall']"
110,2063680.jpeg,0.0,0.0,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[]
111,2122391.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",['partial pinstripe']
112,2223213.jpeg,0.0,0.0,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",['dalmatian']
113,2417577.jpeg,0.5,0.5,0.0,0.0,0.0,0.0,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","['harlequin', 'harlequin']"
114,2063613.jpeg,0.0,0.0,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","['extreme harlequin', 'tri-color']"
115,2063597.jpeg,0.0,0.0,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","['pinstripe', 'fringing', 'kneecaps']"
116,2368231.jpeg,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['dalmatian', 'red spot', 'patternless']"
117,2035173.jpeg,0.5,0.0,0.0,0.0,0.5,0.0,"[0.5, 0.0, 0.0, 0.0, 0.5, 0.0]","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['extreme harlequin', 'fringing', 'kneecaps', 'extreme harlequin', 'fringing', 'kneecaps']"
118,2569019.jpeg,0.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",['tri-color']
